iter	Passed	Remaining
0	138	138803
1	140	69944
2	141	47066
3	142	35541
4	143	28590
5	144	23933
6	145	20617
7	146	18127
8	147	16189
9	147	14639
10	148	13372
11	149	12315
12	150	11419
13	151	10651
14	152	9996
15	153	9426
16	154	8962
17	156	8517
18	157	8113
19	158	7749
20	159	7415
21	159	7111
22	160	6838
23	161	6587
24	162	6351
25	163	6132
26	164	5933
27	165	5744
28	166	5567
29	167	5402
30	167	5248
31	168	5107
32	169	4976
33	170	4849
34	171	4732
35	172	4627
36	173	4520
37	174	4418
38	175	4322
39	176	4230
40	177	4143
41	177	4059
42	178	3980
43	179	3903
44	180	3830
45	181	3760
46	182	3692
47	182	3629
48	183	3570
49	185	3518
50	186	3462
51	186	3408
52	187	3355
53	188	3304
54	189	3256
55	190	3208
56	191	3162
57	192	3118
58	192	3076
59	193	3035
60	194	2994
61	195	2955
62	196	2918
63	197	2886
64	198	2853
65	199	2823
66	200	2789
67	201	2756
68	201	2725
69	202	2694
70	203	2664
71	204	2635
72	205	2607
73	206	2579
74	206	2552
75	207	2526
76	208	2500
77	209	2475
78	210	2451
79	211	2428
80	212	2408
81	213	2388
82	213	2362
83	214	2342
84	215	2322
85	216	2301
86	217	2284
87	218	2265
88	219	2246
89	220	2228
90	221	2209
91	222	2191
92	222	2174
93	223	2156
94	224	2140
95	225	2123
96	226	2106
97	227	2097
98	228	2083
99	229	2068
100	230	2054
101	231	2040
102	232	2026
103	233	2011
104	234	1997
105	235	1983
106	235	1969
107	236	1956
108	237	1943
109	238	1930
110	239	1917
111	240	1904
112	241	1896
113	242	1884
114	243	1872
115	244	1861
116	244	1848
117	245	1836
118	246	1825
119	247	1813
120	248	1802
121	248	1790
122	249	1780
123	250	1769
124	251	1759
125	252	1748
126	252	1737
127	253	1727
128	254	1718
129	255	1709
130	256	1700
131	257	1691
132	258	1681
133	258	1673
134	259	1664
135	260	1656
136	261	1647
137	262	1640
138	263	1632
139	264	1623
140	265	1615
141	265	1605
142	266	1597
143	267	1589
144	268	1581
145	269	1573
146	269	1566
147	270	1558
148	271	1551
149	272	1544
150	273	1537
151	274	1530
152	275	1522
153	275	1515
154	276	1508
155	277	1501
156	278	1494
157	279	1488
158	280	1481
159	280	1474
160	281	1466
161	282	1460
162	283	1453
163	283	1447
164	284	1441
165	285	1434
166	286	1428
167	287	1422
168	288	1417
169	289	1411
170	290	1405
171	290	1400
172	291	1394
173	292	1388
174	293	1383
175	294	1377
176	295	1372
177	295	1366
178	296	1361
179	297	1355
180	299	1353
181	300	1348
182	301	1344
183	302	1342
184	303	1337
185	304	1333
186	305	1328
187	306	1323
188	307	1318
189	308	1313
190	308	1308
191	309	1303
192	310	1298
193	311	1293
194	312	1288
195	313	1284
196	314	1280
197	314	1275
198	315	1270
199	316	1266
200	317	1262
201	318	1258
202	319	1253
203	320	1249
204	321	1245
205	321	1240
206	322	1236
207	323	1232
208	324	1228
209	325	1223
210	326	1219
211	327	1215
